avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctMarriedHouseholds,BirthRate,TARGET_deathRate
134,50,390.5,41837,48177,28.4,0,24.2,24.4,23.9,2.31,36.1,1.2,16.4,40.99102564,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,40.55405483,3.304159034,140.8
958,403,411,44342,248830,20.5,301.4106016,32.5,31.6,33.6,3.05,48.6,28.7,39.3,40.99102564,3,27.8,9.8,56,9,54.6,42.3,30.8,35.7,22.4,50.66898414,6.560611666,169.4
94,41,445.2,35615,16704,21.5,0,41.5,40.9,42.1,2.68,52,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9,55.6,40.1,36.5,44.8,26.4,55.28885946,2.292860865,189.7
499,215,463.1,56737,111901,13.2,89.3647063,38.4,38,38.6,0.0263,51.8,17,40.8,32.2,10,38.2,12.7,58.7,9.7,70,48.36990715,49.7,33.1,17.3,51.52350516,4.872468117,206.1
152,70,501.8,37625,23372,22.1,0,41.9,41.2,43.2,2.5,55.2,21.3,42.9,40.99102564,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,53.06378967,4.220287661,236.7
80,40,396.6,33817,14415,22.2,0,44.5,43.7,45.3,2.51,52.4,32.6,46.2,40.99102564,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,53.27269485,5.469020422,196.3
164,69,481.6,43572,23350,15.1,0,45.9,44.1,48,2.26,50.3,11.1,30.6,40.99102564,3.8,43.7,11,51.9,6.4,68.3,49.5,46.4,39.7,19.4,47.58723829,4.970530452,186.2
564,237,483.4,34887,96844,21.9,330.4283177,38.5,36.9,39.9,2.32,43,9.7,28.2,40.99102564,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39,21.7,40.76501639,4.521925134,194
50,25,459.9,32162,7470,21.8,0,47,47.6,46.5,2.44,55.7,11.6,31.4,40.99102564,0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46,25.2,53.33333333,4.780114723,226.5
70,26,591,32961,8910,25.1,4938.271605,43.3,43.4,43.3,2.62,55.8,19.5,51.1,40.99102564,0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52,32.5,58.09248555,8.753056235,212.9
25,19,234,41838,8176,17.4,0,43.7,41.8,45.5,2.85,45.8,26.2,61.7,10.1,1.9,44.3,8.8,41,6.5,55.2,37.7,35.5,45.2,25.4,53.92670157,6.016466118,185.6
280,137,457,36739,44997,21.4,0,43.2,42,45.1,2.47,50.9,17.3,49.3,40.99102564,4.4,44.4,8.4,42.6,9.2,53.4,36.1,34,47.8,27.8,49.88397759,6.526136485,217
45,21,463.1,32705,8518,28.9,0,38.4,37.4,41.2,2.4,43.2,7.8,29.4,40.99102564,3.9,36.6,9.8,37.1,9.4,61.3,48.36990715,41.2,39,18.8,52.58746356,2.328431373,209.9
58,22,356.3,41039,11766,17,0,45.6,45.5,45.7,0.028,50.5,16.3,41.5,33.8,8.4,50.2,7,51.3,6.7,65.1,48,44.5,42.4,21.2,55.4011976,3.528435035,128
250,103,494.9,36996,35516,21.1,0,45.3,44.6,46.7,2.28,52.2,22.4,36.6,27.8,13.3,44,11.2,48.2,7.2,61.9,43.3,39.1,43,22.1,47.48027903,4.354354354,195.1
145,66,475.1,35980,23353,21.2,0,44.6,44,45.1,2.25,38.7,21.5,47.4,40.99102564,5.3,50,6.9,46,8.1,50.5,38.2,35.6,44.7,31.1,33.68648224,2.28320067,212.1
218,85,495,48178,29815,12.9,0,45.6,44.1,47.9,2.32,51.8,20,23.8,40.99102564,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,48.44113541,5.693029274,184.1
68,29,374.9,41010,13852,15.3,0,44.5,44.2,45,2.69,50.1,24.9,54.2,40.99102564,3.9,47.7,9.3,53.7,7.9,65.8,48.36990715,46.9,38.2,19.1,51.41582622,2.955003358,153
449,192,506.6,42121,68714,13.9,160.0838257,42,40.5,43.5,2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53,7.4,64,47.3,44,39.5,21.3,49.69820377,5.060383303,206.7
182,78,475.8,41121,29237,16.7,0,42.6,41.2,44.1,2.62,54.5,13.7,41.2,35.9,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,55.45062062,4.735242361,194.2
245,101,423.7,66950,56482,10.2,0,39.7,39.9,39.3,2.65,53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,54.09965078,4.995519713,178.2
1285,539,508.7,43936,188332,16.8,191.1517958,42.8,40.9,44.3,2.28,47.9,20.4,33,40.99102564,7.6,37.3,14.7,54.1,7,66,48.6,45.4,39.4,20.4,43.74346505,4.091266719,205.4
124,50,553,40568,16448,20,0,43.3,42.2,44.7,2.48,50.6,15.6,41.8,40.99102564,9.8,49.7,9.3,47.1,7.2,56.4,39.4,35.5,46.8,26.9,49.87741342,4.374100719,218.4
139,60,513.2,34295,21415,24.4,46.69624095,41.9,41.4,42.8,2.69,50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,52.9271954,2.635983264,226.9
245,113,523.9,36437,34707,20.2,28.81263146,42.6,41.5,44.1,2.5,53.1,15,45.9,40.99102564,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,52.33924375,4.195713917,240.1
137,70,457.1,24707,19835,34.9,0,44.1,41.5,46.5,2.39,46,32.3,51.6,40.99102564,3.1,43.9,3.2,27,13.3,39.7,24.3,23.4,58.5,37.7,44.26650367,3.860072376,234.8
373,144,510.9,43729,56925,17.9,0,41.1,39.7,42.7,2.47,51,11.2,34.4,40.99102564,5.4,40.9,14.5,53.94626661,4.9,67.6,48.36990715,48.5,35.7,18.3,49.46399182,5.113459745,188.8
208,87,456.3,43356,31978,15.2,0,44.3,42.9,46.5,2.36,57.7,8.5,45.9,40.99102564,9.2,45.1,11.4,50.9,7,70.3,50.4,47.8,37.5,17,55.3172673,3.174132305,184.6
168,78,463.4,35799,27037,20.6,1146.576913,43,42.3,44.1,2.44,51.6,23.1,42.5,40.99102564,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39,47.6,26.6,50.71046319,3.66910141,209.5
418,184,493.8,35046,61164,20.5,81.74743313,42.3,40.6,43.7,2.39,50.6,14,37.3,40.99102564,6.1,37.9,12.5,46.6,5.1,56.4,48.36990715,35.9,48.2,27.1,48.3713803,4.807972069,210
170,76,456.6,40012,27451,16.1,0,43.2,42.1,44.4,2.4,44.2,9.5,48.4,37.3,4.8,50.2,8.5,47,8.8,58.6,45.1,41.6,39.4,23.3,42.97381269,7.391231312,198.4
163,76,507,29839,25292,28.1,0,41.7,40.4,42.7,2.38,55.6,17.2,47.3,40.99102564,0.6,41,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,52.14865363,2.796024928,240.8
382,132,444.5,43835,104236,22.5,95.9361449,30,28.5,31.3,2.56,37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,40.42122317,4.001671717,155.9
86,39,434.6,36351,13506,19.3,0,46.6,45.4,48.3,2.3,56.8,10.6,42,47,0.3,49.4,8.7,48,7.3,60.5,40.4,36.6,45.2,23.7,53.16042597,6.07651913,190.7
105,52,425.4,44446,17524,13,0,46.1,45.8,46.6,2.36,47.7,13.3,53.1,40.99102564,7.6,41.2,11.1,49.3,12.3,63.7,48.36990715,38.4,38.4,17.3,45.14153511,4.090035685,209.7
160,72,455.5,36375,25594,19.6,0,43.4,42.3,44.7,2.39,57.9,14.7,44.2,40.99102564,1.3,48,8.2,46.5,8.4,61.6,48.36990715,42.2,44.1,23.5,55.74302401,3.346456693,199.8
308,123,500.9,40195,43066,18.4,301.8622579,43.3,41.3,45.1,2.24,45.2,8.9,26.7,40.99102564,8.1,34.5,18.7,56,5.5,70.9,48.36990715,47.9,36.2,16.8,42.92698827,3.257226644,184.4
45,19,381.8,38204,7229,16.7,0,49.1,47.4,50.3,2.35,55.3,25.9,41.3,40.99102564,3.6,46,7.3,45.4,4.9,59.8,41,31,45.3,24.1,54.86268174,7.611940299,139.8
45,21,458.9,44801,7674,16.5,0,43.6,42,45.6,2.43,55,9,47.1,40.99102564,4.3,50.1,7.3,45.6,8.2,71.6,53.8,51.8,36.8,17.7,56.79225717,2.966381015,213.3
50,23,384.8,34341,8607,17.6,0,48.4,47.9,49,2.24,56.4,10,54.9,27.1,8,47.4,10,50.7,5.7,60,40,37.8,44.9,23,53.27803051,4.256631709,176.8
183,73,435.3,41420,33940,17.6,0,42.3,40.4,43.5,2.52,53.3,18,44.6,31.4,5.9,46.4,9,49.5,7,63.5,46.8,43.8,39.3,21.1,56.80724824,4.038301415,169.8
328,114,497.2,59472,56848,10,211.0892204,41,40.4,41.6,2.6,57.4,7.7,43.6,43,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,58.72299258,6.034482759,171.5
482,206,469.6,40270,77510,17.7,12.90156109,41.6,40,43.4,2.4,51.3,11.9,41.1,40.99102564,8.3,39.5,12,45.5,6.6,60.6,36.8,33.6,44.6,24,49.67065294,3.77850558,198.2
161,68,405.2,37468,29126,20.8,0,43.2,41.7,45.1,2.35,52.2,24.3,35.7,40.99102564,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,51.97613076,4.231027535,168.6
72,32,502,46383,9982,17.7,0,45.2,45.1,45.3,2.56,49.5,23.1,38,40.99102564,0.3,47.9,6.3,44.8,10.6,57.4,38.9,37,46.9,24.3,49.74632166,6.267539757,214.7
89,41,449.2,33041,14435,23.1,0,44.2,43.2,45,2.48,53.9,26,45.8,40.99102564,10,46.5,8.2,41.3,8.9,51.6,36,32.9,51.8,32.6,52.19686649,2.353331124,204
76,36,377.1,32456,13239,25.8,0,46.3,46.9,46,2.22,53.5,20,46.2,40.99102564,8.4,40.5,7.6,42.2,10,60.2,38.7,35.2,49.6,24.7,50.44770774,3.812668868,170.4
87,39,400.9,40305,16912,16.8,0,43,41.6,44.5,2.45,52.3,9.2,44.6,40.99102564,5,43.6,11.7,48.9,9.5,63.7,45.9,43.9,42.6,20.6,52.0647653,6.801152738,172.2
56,19,528.4,36466,6966,17.1,0,47.7,47,48.4,2.26,60.5,7,50.6,40.99102564,0,52.7,7.1,51.7,7.6,68,48.36990715,46.1,39.3,17.9,56.87707641,3.868613139,168.1
61,27,468.3,41019,8975,15.8,0,46.2,45.6,46.9,2.48,53.5,19,44.1,40.99102564,6.3,49.2,7.2,44.1,10.9,62.3,41.7,38.9,43,19.8,52.40597345,1.988950276,199.1
142,60,453.7,38387,24758,19.7,0,41.8,41.2,42.5,2.57,51.5,9.1,39.1,40.99102564,6.1,48.4,9.3,48.2,8,59.7,45,41.3,40.2,23.3,53.55768173,5.300938708,189.5
236,102,433.2,37242,40971,20,24.40750775,42.5,41.3,43.5,2.47,48.9,13.4,43.3,40.99102564,3.2,40.9,7.5,43.3,9.9,54.6,39.7,37,45.6,27.1,47.52860823,4.112005292,183.8
65,33,511.9,29331,8755,26.1,114.2204455,46.3,45.5,46.6,2.28,54.1,10.4,54.6,32.3,2.8,43,5.3,40.2,14.8,45.1,31.2,28.2,53.3,35.4,48.72652431,4.203539823,259.5
120,50,514.6,40013,15816,18.5,0,46,44.6,47.2,2.46,51.4,19.8,52.5,40.99102564,3.2,48.7,6,41.7,8.1,63.5,42.7,39.7,44.6,21.3,51.70881226,6.161137441,202.6
35,14,455.3,38600,5880,20.3,0,45,45.4,44,2.4,52.2,21.1,31.6,40.99102564,2.3,47.6,7.8,47.9,8.4,61.6,46.7,44,41.4,23.5,51.76954733,5.968928863,185.8
554,217,488.8,41932,86452,17.2,173.5066858,42.5,41.1,44,2.37,51.1,15.8,36.5,40.99102564,4.2,38.1,12.2,52.4,8.6,63,48.36990715,42.2,42,22.7,47.88351017,6.23870268,185.5
134,69,447.8,34419,22151,22.8,0,42.8,41.5,44.2,2.48,55.7,23.3,33.7,40.99102564,3.6,46,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,54.03848244,6.018614271,235.4
164,73,467.9,42063,20148,17.8,0,51.4,49.7,53.3,2.47,50.9,21.5,44.6,40.99102564,3.3,43.7,8.5,42.2,10.1,63.9,38.9,34.1,50.8,22.6,54.12278449,3.861129137,206
90,45,451.5,41294,15843,14.9,0,42.2,40.8,42.8,2.29,45.9,8.9,31.3,40.99102564,6,35,14.6,58.2,7.9,62.7,46.2,39.4,42.5,23.9,42.79547484,6.460336538,217.5
254,112,412.1,46375,45563,13.7,1097.381647,43.9,42,45.6,2.35,55.8,15.6,44.4,40.99102564,3.3,39.8,10.6,60,6,68.4,50.9,43.2,39.2,19,52.64644351,5.884312202,168.4
88,42,369.9,44395,14977,13.6,0,50.8,50.5,51.1,2.16,58.5,14.2,28.8,40.99102564,4.5,30.2,18.9,54.1,7.2,65.9,48.36990715,37.2,44.1,21,52.79664691,5.547054323,171.7
1214,406,479.1,54141,258718,12,1213.676667,36.8,35.7,37.9,2.46,51.4,16.8,28.7,40.99102564,9,31.3,20,65.4,6.1,72.5,60,54.6,30,17.2,49.80425278,5.921762149,158.6
71,33,385.7,50998,13192,10.5,151.6070346,45,45.1,44.9,2.29,59,14.5,39,40.99102564,5.5,42.5,12.4,64.7,3.7,73.4,56.7,49.3,34.5,16,54.08074857,7.17472119,166.4
103,50,399.2,41810,15159,16.5,0,50.9,50.6,51.4,2.08,59,14.7,34.9,40.99102564,6.8,40,11.9,50.3,7.5,64.2,48.36990715,34.3,48.2,23.7,51.08041575,4.96054115,190.1
238,79,474.1,68430,49762,5.9,0,39,38.4,39.8,2.66,62,14.6,27.9,40.99102564,11.9,33.8,20.6,69.4,3.1,84.1,72.2,66.3,22.4,10.6,62.98229565,4.330985915,157.9
356,123,482.4,52485,63531,10.7,487.9507642,40.6,39.1,42,2.44,55.6,14.2,36.1,42.6,7,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,55.24062236,5.497771174,160.1
184,70,455.2,45316,34445,16,0,37.1,36.4,38.4,2.65,58.2,37.3,35.4,40.99102564,2.7,43.3,8.4,61.2,4.8,56.6,41.9,34.1,34,17.6,57.41970774,9.86429301,157.6
323,123,476.1,59020,56743,8.8,0,42,41.3,42.7,2.44,54.9,18.5,39.2,40.99102564,8.1,34.9,15.8,65,5.8,78.2,61.6,55.8,29.4,12.9,54.30466505,4.654466449,176.6
109,43,466.4,43562,16391,14.7,122.0181807,45.9,44.2,47.1,2.38,52.3,8.9,48.5,40.99102564,4.9,42.7,10.1,55.6,6.5,67.4,49,43.9,41,20.3,51.27585686,5.300353357,176.4
2015,707,430.7,61937,523643,13.4,129.8594653,34.6,33.7,35.6,2.35,47.5,6.3,21.9,40.99102564,21.4,19,28.3,69.5,4.9,82.5,48.36990715,62.8,22.6,10.2,45.26843317,4.458527742,153.8
463,201,437.3,54359,88502,9.9,0,42,40.4,43.7,2.51,51.1,15,45.6,40.99102564,6.2,40.2,11.5,60.1,6,77.7,57.6,51.7,30.3,13.9,53.53820299,4.49736915,178.9
208,77,449.3,49717,27554,11,1778.326196,51.7,50.2,53.2,2.11,62.6,20.8,31,40.99102564,11.1,32.9,19.7,55.6,6.2,75.8,48.36990715,42.4,39.5,15.5,56.50832819,4.481380181,158.7
187,104,354.7,46475,43601,13.9,0,40.6,39.8,41.3,2.28,47.6,10.9,26.9,54.7,7.5,33.2,15.4,59.9,7,66.5,51.4,47.1,37.9,20.6,44.24412034,6.150455775,192.8
177,72,396.1,52224,44497,13.9,0,34.1,33.4,35,2.48,47.6,4.5,25.4,40.99102564,5.5,34.6,16.2,62,6.1,72.4,57.5,50.2,32.3,16.8,51.38981814,5.116736739,155.6
454,177,440.9,48102,102105,14.4,675.7749376,33.8,33,34.7,2.43,46.4,6.9,26.6,40.99102564,8.3,26.9,19.9,65.3,5.8,74.8,60.1,54.2,29.4,14.6,46.89544532,4.346348463,163.4
23,13,308.2,44562,4464,12.8,0,51.1,50.8,51.3,2.32,59.9,23.9,15.7,40.99102564,0,39.2,12,51.1,7.2,68.9,48.1,38.9,41.8,17.6,57.93067227,3.462050599,171.9
579,206,477,52149,101973,9.9,235.3564179,41,40.1,41.8,2.4,54.8,10.6,33.8,40.99102564,6.2,38.5,14.8,64.6,5.3,77.1,60.3,54.8,30.6,14.4,53.51968638,4.541733098,159.4
68,25,490.6,41418,9057,17,4306.06161,45.3,44.4,46.4,2.33,52.8,18.9,42.2,40.99102564,4.4,40.7,8.8,47.6,10.1,59.8,40.1,35.1,43.9,20.4,51.39107612,7.250418293,166.4
257,108,428.2,46972,52250,15,0,36.1,33.2,39.7,2.44,48.6,8.4,23.8,63,4.7,38.7,13.1,62.2,4.6,74.8,58.4,50.5,30.4,13.9,51.66349565,5.174434328,166.9
187,74,420,53328,37186,8.7,0,42.2,41.3,43.2,2.47,56.7,10.5,40.9,36.1,12.4,39,14.8,67.6,3.5,78.2,48.36990715,53.9,30.2,13.8,55.2736352,5.46031746,158.4
89,32,447.2,61802,17110,8.2,0,458.4,36.3,40.7,2.46,58.1,4.3,22.7,40.99102564,6.2,29.5,18,63.4,3.5,83.4,67.6,55,24.3,9,60.49149338,9.675645959,152.3
29,15,356.1,40351,5220,16,191.5708812,46.1,45.2,47.8,2.29,56.5,30.1,26.2,40.99102564,5.4,31.1,17.2,61.2,1.4,64.9,48.36990715,28.1,38.3,17.8,52.45683931,5.360824742,169.9
20,10,400.6,43883,3091,12.1,0,49.5,47.7,50.5,2.21,61,11.9,14.8,59.1,14.2,42.3,10,62.2,3.1,75.6,55.9,44.3,35.3,14.8,53.95787945,7.992565056,187.4
16,10,221.5,55955,5937,9.2,0,38.8,36.8,41.4,2.61,62.7,12.4,29.1,40.99102564,5.3,35,14.2,68.3,2.6,76.1,60.8,48.8,28,12.4,61.73052088,5.678233438,138.2
40,13,432.5,49517,5163,10.7,0,48.9,47.6,50.9,2.15,67,21.5,22.7,40.99102564,9.2,37,14.8,53.94626661,1.7,74,54.6,39.3,36.1,16.8,59.54720205,6.35451505,120.2
30,14,453.6,41344,7064,34,0,28.6,27.5,30.3,3.3,40.9,30.2,32.9,40.99102564,3,35.5,9.2,53.94626661,14.4,39.9,31.5,26.1,39.1,28.4,41.69865643,8.467741935,215
24,12,350.1,44726,4154,12.3,0,46,44.2,46.6,2.21,64.2,17.2,34.4,40.99102564,3.1,42.6,14.5,67,1.4,70.5,48.36990715,35.6,38.3,16.9,56.87928308,5.01285347,156.3
104,39,431.4,69191,20248,7.4,0,41.2,40.1,42.4,2.48,63.5,13,24.9,40.99102564,11.2,31.1,22.6,68,1.4,82.4,68.2,58.2,22.9,8.3,62.95743092,5.725611099,159.2
39,15,392,53290,9367,13.6,0,30.1,27.2,32.2,2.33,53.9,3.6,17.7,40.99102564,2.4,20.5,25.8,66.8,3,82.7,66.6,57.2,22.2,9.1,58.74285714,5.981533521,142.1
31,12,495.5,40979,3625,12.7,0,47.5,45.5,49,2.31,57.2,28,31.1,40.99102564,3.5,36.1,12.9,56.7,4.7,69.1,50.4,38.5,38.3,17.7,54.25257732,3.524229075,162.7
72,33,389.2,51335,13806,10.6,0,41.3,38.2,43.6,2.31,56.5,13.6,25.8,55.3,5.3,32.6,19,65.5,2,77.4,58.2,44.1,28.9,11.6,55.1213419,6.993486459,164.7
1962.667684,62,453.5494221,46840,24200,13.2,0,38.9,37.1,40.8,2.51,51.6,19.8,39.3,40.99102564,1.4,35,10.9,48.4,11.9,63,48.36990715,34.9,37,17.3,49.69920844,7.724034496,211
1962.667684,3120,453.5494221,51241,2114801,15.6,405.2390745,36.4,35.9,37,2.78,44.6,20.2,35.5,40.99102564,4.9,28.8,15.1,57.7,10.8,62.9,51.7,45.4,27.3,16,43.81306543,5.125073246,167.7
1962.667684,108,453.5494221,60322,47710,10.3,0,49.4,48.7,50,2.37,58.9,17.3,38.6,40.99102564,5,24.7,16.4,51.5,8.5,70.7,48.9,39.6,35.8,12.9,56.13529501,5.193753615,145.2
1962.667684,55,453.5494221,72648,51935,10.8,0,33.5,32.9,34.1,2.87,56.6,19,33.7,42.3,5.1,26.8,12.3,67,5.5,73,63.9,60.9,18.5,10,57.82097649,6.700733537,143.2
1962.667684,4,453.5494221,47180,829,14,0,46.5,43,47.5,2.35,44.3,1.2,62.7,36.1,0,43.2,12.6,46,11.9,56.5,38.8,34.9,37.1,16.5,40.57971014,4.326923077,262.1
1962.667684,4,453.5494221,70535,2016,9.8,0,43.9,44.9,42.6,2.17,64.7,48.1,19.2,32.7,0,35.8,14.2,64,4.7,76.4,63.3,52.6,18.6,2.6,56.06258149,2.412868633,178.7
1962.667684,27,453.5494221,67423,17019,10.7,0,35.3,34.9,35.4,2.74,51.6,31.9,40.2,40.99102564,4.7,37.4,8.8,64.5,7.8,69.4,59.2,53.9,20.6,11.6,51.35794438,5.517423442,191.5
1962.667684,7,453.5494221,74347,5903,11,0,37.2,36.4,37.6,2.79,54.3,24.3,51.6,40.99102564,3.3,37.5,4.7,59.8,12,69.1,57.3,53.7,24.4,11.3,56.90633869,11.63179916,123.8
1962.667684,9,453.5494221,45629,5036,15.1,0,37.4,37.3,38.1,2.55,56.8,30.1,38.4,30.7,0.8,32.1,15.9,41,11.8,64.1,51.8,48.5,31.5,15.5,59.21402018,4.519774011,127.4
1962.667684,124,453.5494221,48576,52585,13.7,0,43.2,43.1,43.4,2.63,51.1,30.2,36.7,40.99102564,0.2,30.2,11.1,48.6,13.6,61.1,44.5,38.6,37.5,19.1,51.96681008,4.62962963,195.7
1962.667684,20,453.5494221,40714,4478,19,0,48.7,48,49.2,0.0225,41.8,6.1,42.3,51.6,0,31.2,6.8,48.1,15.4,58.1,39.6,36.4,43.2,21.6,34.42211055,9.518477044,254.3
1962.667684,154,453.5494221,42881,42477,16.8,0,50.8,50.8,50.8,0.0242,54.4,32.3,41.2,40.99102564,3.3,35.6,9.2,39.7,13.4,53.1,34.6,30.2,48.2,25,52.18339358,6.302577113,213.5
1962.667684,9,453.5494221,52001,6634,18.5,0,41.3,39.5,44.1,2.29,44.8,38,28.9,40.99102564,0,35.4,7.5,36.9,9.5,59.9,43.8,38.1,34.7,19.1,51.4162266,14.62113127,121.8
